title,link,play_times,collection_times,relay_times,comments,creator,create_date
全网易最贵歌单了解一下？,"https://music.163.com/playlist?id=2181517234
",913381,22177,1021,448,一房两人三猫四季五杀六九,2018-04-12
自由朋克 I 孩子般的无畏和真诚,"https://music.163.com/playlist?id=2408549654
",1178021,21957,328,227,山河暮归,2018-09-07
CGI《蜘蛛侠 平行宇宙》动画↓BGM,"https://music.163.com/playlist?id=2547659506
",896110,21810,686,274,Ferhat吸血鬼,2018-12-08
不管谁说什么都坚持努力的你，超帅气,"https://music.163.com/playlist?id=2625911329
",933020,21628,228,420,mayuko然,2019-01-15
轻电子丨我的宇宙里为你藏有无数个温柔星球,"https://music.163.com/playlist?id=2541689977
",609191,21492,263,130,海厘,2018-12-04
打游戏必备｜Spinnin' Records高能电音战曲,"https://music.163.com/playlist?id=2378065090
",1360042,20607,128,100,SpinninRecordsOfficial,2018-08-21
⚡Moombahton 丨电流律动的异域风,"https://music.163.com/playlist?id=2345781577
",1511843,20512,290,63,Jisoo7,2018-08-03
怀旧旋律 · 旧时光里的天马行空,"https://music.163.com/playlist?id=2503202287
",759018,20366,264,107,shakemyhead,2018-11-07
【电音】耳机党福音 节奏控最爱,"https://music.163.com/playlist?id=988828723
",879503,20130,165,144,风之君临,2017-11-08
「温柔溺亡」乍见心欢小别私恋，久处仍怦然,"https://music.163.com/playlist?id=2154749653
",803336,20107,248,133,海厘,2018-03-24
底特律：成为人类OST/Detroit:Become Human,"https://music.163.com/playlist?id=2239831916
",702272,19957,282,664,PachoPuta,2018-05-25
午后慵懒｜与爱人 岁月如诗 美好如斯,"https://music.163.com/playlist?id=2539003950
",909752,19818,234,104,Moonxxii,2018-12-02
【游戏原声】屏幕之后，更是另一个世界,"https://music.163.com/playlist?id=2315825860
",888500,19694,144,299,谐星七十六号,2018-07-15
优质原曲邂逅remix，前奏就沦陷,"https://music.163.com/playlist?id=2313358314
",913754,19568,224,143,云音乐VIP,2018-07-13
