title,link,play_times,collection_times,relay_times,comments,creator,create_date
『软音萌电』医疗兵就位，恶势力散退！,"https://music.163.com/playlist?id=2122586943
",1119121,61461,397,510,Areal肥阳,2018-03-01
萌系电音 萌动次元 【甜的冒泡泡哦～】,"https://music.163.com/playlist?id=967326044
",1247251,61208,370,351,CarryKyo,2017-10-22
『 2018优质新歌电音推送 』,"https://music.163.com/playlist?id=2000367772
",3637184,61016,879,796,Kaibottcher,2017-12-03
『电音女毒』女声响起/即刻沦陷,"https://music.163.com/playlist?id=2314766620
",2743004,60893,1453,379,HUMAN00,2018-07-14
2018全球百大DJ排行榜,"https://music.163.com/playlist?id=2478923551
",1984151,60028,1190,1768,welphenEDM,2018-10-21
『Trap』低频轰炸机 令人上瘾的黑暗氛围,"https://music.163.com/playlist?id=2069189356
",3295322,58535,988,307,LuckyMaxx,2018-01-22
【China国风电音II】之二胡与笛子的双重奏,"https://music.163.com/playlist?id=2167792027
",1200094,57495,483,162,MeCHJ噢,2018-04-02
【徐梦圆】中国电音丨崛起之路,"https://music.163.com/playlist?id=2157256550
",1669534,57437,491,932,Hope-boy,2018-03-25
『电子AND悦耳女声』叫醒沉睡已久的耳朵吧,"https://music.163.com/playlist?id=917739927
",1590590,57308,314,279,清结,2017-09-13
小姐姐搭档电子乐，声控党新潮的标配~,"https://music.163.com/playlist?id=2055571883
",1447253,57059,353,604,Areal肥阳,2018-01-12
【励志电音】愿你身披星芒 执笔为剑,"https://music.163.com/playlist?id=2239286898
",2532372,55721,550,709,谐星七十六号,2018-05-24
想和这些唱情歌的小哥哥谈场恋爱呀,"https://music.163.com/playlist?id=2109339318
",2246395,54960,626,775,-Holit-,2018-02-20
精致节拍 | 时髦的人听什么,"https://music.163.com/playlist?id=2333114395
",4285560,53881,406,544,原创君,2018-07-26
轻电音 | 置身蓝色渲染勾勒的夜空,"https://music.163.com/playlist?id=716372290
",1379984,53112,500,136,还你一个夏天,2017-05-03
MA$IWEI马思唯/纯 正 好 货,"https://music.163.com/playlist?id=833431824
",2188964,53090,437,159,AkashiAshes,2017-07-31
惊艳女声和电音的邂逅（2018盘点篇）,"https://music.163.com/playlist?id=2579399082
",2412775,52800,443,245,原点FM,2018-12-30
有种音乐叫丨健身专用,"https://music.163.com/playlist?id=824696027
",2714335,52263,1017,272,音妇,2017-07-25
LOL英雄台词,"https://music.163.com/playlist?id=615741516
",1370526,52116,186,244,我是徐梦圆的立体版本徐梦球,2017-02-28
「节奏甜食」次点甜醹发酵的牛奶草莓,"https://music.163.com/playlist?id=2069080336
",2595449,51564,705,615,润同志,2018-01-22
抖腿合集 | 清新人声+电音的完美融合,"https://music.163.com/playlist?id=2246938067
",1995550,51322,398,184,会娇喘的皮皮皮皮皮皮猪,2018-05-29
高质量英文歌和remix的碰撞,"https://music.163.com/playlist?id=2440187131
",2237230,51077,436,137,谛听仙子,2018-09-28
—俄ж（抖腿专用）,"https://music.163.com/playlist?id=992750776
",2867218,51034,497,101,Mogul_7,2017-11-11
